便秘に効く野菜は?,2,青じそ,ゴーヤ,オクラ,せり,正解：オクラ,食物繊維ペクチンと強い粘性を持ち便秘解消に効果があるムチンを多く含む。
カットしたかぼちゃの正しい保存方法は?,3,外の皮を剥いて保存,冷暗所で常温で保存,風通しのよいところで保存,種とわたを取り冷蔵庫で保存,正解：種とわたを取り冷蔵庫で保存,カットしたものは種とわたが傷みやすいので、取り除いてからラップをして保存します。
新鮮なきゅうりを見分けるポイントは?,0,表面のイボが鋭いもの,お尻が尖っているもの,色が薄めで柔らかいもの,表面がツルツルしているもの,正解：表面のイボが鋭いもの,きゅうりのイボは、新鮮であるほど鋭くてしっかりしています。また、太さは均等で濃い緑の物が新鮮です。
三浦大根の特徴は?,1,上部首の部分が緑色で細身,中太り形で、ずっしりと大きい,小型の丸形でぷっくりしている,種まきから二十日ほどで収穫できる,正解：中太り形で、ずっしりと大きい,首の部分が細く、下部に向かってぷっくり太くなる。重さは2.5〜4kgほどで、長さは約60cmとされています。
大根おろしはどの部位を使うのが良い?,2,真ん中の甘くて柔らかい部分,辛くて繊維の多い下部,かたくて甘い葉に近い上部,どの部分も味は均一なので、どこでもOK,正解：かたくて甘い葉に近い上部,上部は辛みが弱く固めなので大根おろしに適しています。真ん中は甘みもあり煮物に最適。下部は辛みが強いので汁物や漬け物に。
ふろふき大根やおでんなど、大根を煮る前の注意点は?,3,輪切りにし、常温で一晩寝かせる,氷水に10分程度さらす,輪切りの後、塩でよく揉みほぐす,輪切りにし十字の切込みを入れる,正解：輪切りにし十字の切込みを入れる,十字の切り込みを入れる事により、火の通りが良くなり、中まで味がしみるようになります。
玉ねぎの辛み成分「硫化アリル」は血液をサラサラにしますが、この辛みを抜いて食べるコツは?,0,カットしてから20分ほど放置,カットしてから5分加熱する,皮を剥いだらすぐに使う,氷水に1日浸す,正解：カットしてから20分ほど放置,カットした玉ねぎはしばらく放置する事により、栄養分が活性化すると言われています。「硫化アリル」は長時間水に浸すと溶けてしまいます。
ジャガイモや玉ねぎを数える単位は「個」ですが、ほうれん草は?,1,把（わ）,株（かぶ）,柵（さく）,束（たば）,正解：株（かぶ）,お店では一把（株を適量に束ねたもの）で販売されているのが一般的ですが、数え方は「一株、二株…」です。
お料理用語「アクを取る」の意味は?,3,加熱したものを、人肌程度に冷ますこと,塩をよくすり込み柔らかくすること,天日干しにすること,素材の渋みやえぐみを取り除くこと,正解：素材の渋みやえぐみを取り除くこと,水にさらしたり茹でたりして渋みやえぐみなどを調理前に取り除くことを「灰汁（あく）抜き」と言います。
この中で1番ビタミンCが多いのは?,3,いちご,柿,ピーマン,キャベツ,正解：キャベツ,00g当たりの平均ビタミンC含有量は、キャベツ（110）、ピーマン（76）、柿（70）、いちご（62）の順です。
いちごの外側についている「つぶつぶ」の正体は?,0,果実,種,トゲ,ごま,正解：果実,「つぶつぶ」は果実であり、その中に種が入っています。赤い部分は花床（かしょう）と呼ばれ、つぶつぶを守るクッションの役割をしています。
油汚れも落とせるミカンの皮に含まれている成分群は?,1,ビタミンC、コレステロール、リコピン,リモネン、ペクチン、クエン酸,ビタミンC、ポリフェノール,硫化アリル、ペクチン、食物繊維,正解：リモネン、ペクチン、クエン酸,リモネン、ペクチン、クエン酸は天然の油であり、つやを出したり、においを取る効果もあります。
スイカの水分含有量はどのくらい?,3,60%〜70%,70〜80%,80%〜90%,90%以上,正解：90%以上,水分以外には、ビタミンCやカルシウム、糖分、リコピンなどが含まれています。90%以上が水分なので、夏の熱中症対策などにも効果的です。
世界一栄養がない野菜としてギネス認定されているのは?,2,ナス,冬瓜,キュウリ,ゴボウ,正解：キュウリ,キュウリの全体の90%以上は水分。ギネスブックには、世界一カロリーの低い果実として掲載されている。
世界一栄養があると言われる果物は?,0,アボガド,キュウリ,ミカン,パイナッブル,正解：アボガド,アボガド100gあたりのエネルギーは187kcal。コレステロールを下げたり、老化防止の効果があると言われています。
カブを食べるとどんな効果がある?,1,目に良い。,便秘に良い,鼻づまりに良い,安眠効果がある。,正解：便秘に良い。,カブは消化酵素アミラーゼが含まれており、胃もたれや胸焼けなどに効果的です。
ごぼうを食べるとどんな効果がある?,2,美肌効果,胃もたれに良い,整腸効果,安眠効果,正解：整腸効果,ごぼうは野菜のなかでも食物繊維の多さはトップクラスで、整腸効果があります。
サツマイモを食べるとおならが出る理由は?,3,胃のなかでイモが発酵するから,身体の酸素が欠乏するから,腸がねじれるから,腸内発酵が活発になるから,正解：腸内発酵が活発になるから,腸内で発酵して出来るガスは無臭の炭酸ガスなので、理論的には臭くないと言えます。
芋類のなかでも里いもに多く含まれているのは?,0,ムチン,セルロース,カテキン,ヤラピン,正解：ムチン,里いものぬめり成分はムチンです。ムチンは免疫力を高める効果があります。
かつて悪魔の食物と言われていたのは?,1,にんにく,じゃがいも,唐辛子,しそ,正解：じゃがいも,じゃがいもは聖書に載っていない、毒のある食物などの理由で忌み嫌われている時代がありました。
大根を米のとぎ汁で下煮すると良いのはなぜ?,2,毒ぬき,あくぬき,辛みぬき,柔らかくなる,正解：辛みぬき,米のとぎ汁に含まれるでんぷんがだいこんの苦味や辛味を吸着してくれます。
竹がタケノコとして食べられる期間は?,3,10時間,1日,1年,10日,正解：10日,タケノコは竹の旬と書いて筍というように、その期間はわずか10日間です。
山芋の別名は?,0,山のうなぎ,山の豚,山の卵,山のくじら,正解：山のうなぎ,山芋は精のつく食べ物と言われるため。山芋のねばり成分ムチンは消化吸収を良くし、身体の回復力を高めるた効果があります。
給食でもっとも登場する野菜は何?,1,じゃがいも,にんじん,たまねぎ,キャベツ,正解：にんじん,にんじんにはベータカロチンが豊富であり健康な身体を作ります。
蓮根(レンコン)は何の根でしょう?,2,蓮の根,しょうぶの根,根っこではない,菊の根,正解；根っこではない,蓮根は「蓮の根」と書きますが根っこではなく、茎が肥大したものです。
レンコンの穴はなぜ空いている?,3,水を吸い込むため,軽量化のため,美味しくなさそうに見せるため,空気を送るため,正解：空気を送るため,根や茎に空気を送るためのパイプとして穴があると言われています。
オクラの英語名は?,0,オクラ,ネクラ,グリーンスター,ボンクラ,正解はオクラ,和名はアメリカネリや陸蓮根と言われているが今では英語名のオクラが知れ渡っている。
カボチャの語源は?,1,カボスが大きくなったから,カンボジアから伝えられたから,家母が強かったから,ボチャッとしてたから,正解：カンボジアから伝えられたから,カンボジアの産物として室町時代に伝えられました。
ツルレイシとは何?,2,キュウリ,しいたけ,ゴーヤー,朝顔,正解はゴーヤー,果肉が苦いためニガウリと呼ばれる。ゴーヤーは沖縄の方言です。
辛いシシトウの確率は?,3,2つに1つ,3つに1つ,5つに1つ,10に1つ,正解：10に1つ,ししとうは甘み種なので基本的に辛くはないといわれています。
ズッキーニは何の仲間?,0,カボチャ,キュウリ,ナス,シシトウ,正解：カボチャ,見た目はキュウリやナスに似ているが祖先はメキシコの巨大カボチャと言われています。
